Id,StageName,Status_Reason__c,RecordType.Name,RICE_Supported__c,CreatedDate,CloseDate,AccountId,Lead_Faculty__c,Parent_Opportunity__c,RecordType.Name.1,Industry,Business_Type__c,Is_External__c,ParentId
0062e000002HFtkAAG,0,Other (Lost),Research Contract,RIC-BD&I,2019-01-06T23:46:23.000Z,28/2/19,0012e000003A6GyAAK,0012e000002ZNYOAA4,1,Business Organization,Services,SME (small to medium enterprise),External,1
0062e000002HFtLAAW,0,Not Ready for Market,Custom Education (MSPACE Included),RIC-BD&I,2017-11-02T01:25:52.000Z,28/2/20,0012e000003A6vSAAS,0012e000002ZmnzAAC,1,Business Organization,Health,SME (small to medium enterprise),External,1
0062e000002HFtmAAG,0,Other (Lost),Custom Education (MSPACE Included),Not supported,2018-11-19T02:22:46.000Z,1/11/19,0012e000003A6dqAAC,0012e000002ZNYOAA4,1,Business Organization,Services,Government: International,External,1
0062e000002HFtMAAW,0,Failure to Agree - Price,Custom Education (MSPACE Included),Not supported,2018-06-12T23:30:49.000Z,28/2/20,0012e000003A6Q7AAK,,1,Business Organization,Services,Not for profit,External,1
0062e000002HFtnAAG,0,Other (Lost),Consultancy (Non-research),RIC RE&D and BD&I,2016-02-04T01:06:48.000Z,1/11/19,0012e000003A6qdAAC,0012e000002ZNYOAA4,1,Business Organization,Services,Government: Australia: Local & State,External,1
0062e000002HFtNAAW,0,Other (Lost),Custom Education (MSPACE Included),RIC-BD&I,2017-09-11T05:07:18.000Z,31/1/20,0012e000003A6VzAAK,0012e000002ZGfbAAG,1,Business Organization,Services,Not for profit,External,1
0062e000002HFtoAAG,0,Other (Lost),Research Contract,RIC-BD&I,2017-06-22T04:45:09.000Z,25/7/19,0012e000003A6NiAAK,0012e000002ZNYOAA4,1,Business Organization,Services,Government: Australia: Federal,External,1
0062e000002HFtOAAW,0,Other (Lost),Research Contract,RIC-BD&I,2017-09-07T03:09:20.000Z,1/11/19,,0012e000002ZmnxAAC,1,Business Organization,Services,Not for profit,,1
0062e000002HFtpAAG,0,Other (Lost),Custom Education (MSPACE Included),RIC RE&D and BD&I,2018-06-12T04:42:53.000Z,31/12/18,0012e000003A6QlAAK,,1,Business Organization,Services,University,External,1
0062e000002HFtPAAW,0,Other (Lost),Custom Education (MSPACE Included),RIC-BD&I,2017-08-03T01:36:30.000Z,28/2/20,0012e000003A6QUAA0,0012e000002ZNYOAA4,1,Business Organization,Services,University,External,1
0062e000002HFtqAAG,0,Other (Lost),Research Contract,RIC RE&D and BD&I,2017-08-23T02:18:58.000Z,1/11/19,0012e000003A6R7AAK,0012e000002ZNYOAA4,1,Business Organization,Manufacturing & R&D,SME (small to medium enterprise),External,1
0062e000002HFtQAAW,0,Other (Lost),Custom Education (MSPACE Included),RIC-BD&I,2017-09-15T04:41:48.000Z,31/1/20,0012e000003A6QMAA0,0012e000002ZLgJAAW,1,Business Organization,Services,Multinational / Other Large Corporate,External,1
0062e000002HFtrAAG,0,Other (Lost),Custom Education (MSPACE Included),RIC RE&D and BD&I,2016-06-01T06:31:24.000Z,1/11/19,0012e000002YmNRAA0,0012e000002ZNYOAA4,1,University Department,Education,Not for profit,Internal,1
0062e000002HFtRAAW,0,Not Ready for Market,Custom Education (MSPACE Included),RIC-BD&I,2017-06-22T01:53:49.000Z,31/1/20,0012e000003A6WVAA0,0012e000002ZNYOAA4,1,Business Organization,Services,PFRO (Publicly-Funded Research Organisation),External,1
0062e000002HFtsAAG,0,Other (Lost),Custom Education (MSPACE Included),RIC RE&D and BD&I,2017-05-09T06:26:42.000Z,1/11/19,0012e000002YmNRAA0,0012e000002ZNYOAA4,1,University Department,Education,Not for profit,Internal,1
0062e000002HFtSAAW,0,Other (Lost),Custom Education (MSPACE Included),RIC-BD&I,2016-09-22T02:03:05.000Z,1/11/19,0012e000003A6qHAAS,0012e000002ZmOZAA0,1,Business Organization,Services,University,External,1
0062e000002HFttAAG,0,Other (Lost),Research Contract,RIC RE&D and BD&I,2016-06-01T06:17:28.000Z,1/11/19,0012e000002Z4IxAAK,0012e000002ZNYOAA4,1,University Department,Education,Not for profit,Internal,1
0062e000002HFtTAAW,0,Not Ready for Market,Custom Education (MSPACE Included),RIC-BD&I,2016-07-28T07:50:33.000Z,31/1/20,0012e000003A6qHAAS,0012e000002ZGfbAAG,1,Business Organization,Services,University,External,1
0062e000002HFtuAAG,0,Other (Lost),Custom Education (MSPACE Included),Not supported,2018-01-22T00:12:49.000Z,1/11/19,0012e000002Z3OuAAK,0012e000002ZNYOAA4,1,University Department,Education,Not for profit,Internal,1
0062e000002HFtUAAW,0,Customer No Longer Interested,Research Contract,RIC-BD&I,2018-06-20T05:31:07.000Z,1/11/19,0012e000003A6FvAAK,,1,Business Organization,Services,SME (small to medium enterprise),External,1
0062e000002HFtvAAG,0,Other (Lost),Custom Education (MSPACE Included),RIC RE&D and BD&I,2017-04-28T04:09:27.000Z,1/11/19,0012e000002YlvyAAC,0012e000002ZNYOAA4,1,University Department,Education,Not for profit,Internal,1
0062e000002HFtVAAW,0,Other (Lost),Research Contract,RIC-BD&I,2018-07-29T23:27:10.000Z,1/11/19,0012e000003A6G0AAK,0012e000002ZLgIAAW,1,Business Organization,Construction & Construction Materials,Large Australian Corporate,External,1
0062e000002HFtwAAG,0,Other (Lost),Custom Education (MSPACE Included),Not supported,2018-01-22T00:11:00.000Z,1/11/19,0012e000002YlvyAAC,0012e000002ZNYOAA4,1,University Department,Education,Not for profit,Internal,1
0062e000002HFtWAAW,0,Other (Lost),Research Contract,RIC RE&D and BD&I,2015-12-04T01:38:08.000Z,1/11/19,0012e000003A6FbAAK,0012e000002ZmnxAAC,1,Business Organization,Energy & Utilities,Government: Australia: Local & State,External,1
0062e000002HFtxAAG,0,Other (Lost),Custom Education (MSPACE Included),RIC RE&D and BD&I,2017-08-27T10:47:44.000Z,1/11/19,0012e000002Z4IxAAK,0012e000002ZNYOAA4,1,University Department,Education,Not for profit,Internal,1
0062e000002HFtXAAW,0,Other (Lost),Research Contract,RIC RE&D and BD&I,2015-11-06T03:06:37.000Z,1/11/19,,,1,Business Organization,Services,Not for profit,,1
0062e000002HFtyAAG,0,Other (Lost),Custom Education (MSPACE Included),RIC RE&D and BD&I,2016-02-03T22:45:38.000Z,1/11/19,0012e000002Z3OuAAK,0012e000002ZNYOAA4,1,University Department,Education,Not for profit,Internal,1
0062e000002HFtYAAW,0,Customer No Longer Interested,Research Contract,RIC RE&D and BD&I,2016-04-21T23:41:22.000Z,1/11/19,,,1,Business Organization,Services,Not for profit,,1
0062e000002HFtzAAG,0,Other (Lost),Custom Education (MSPACE Included),RIC RE&D and BD&I,2017-10-23T22:54:26.000Z,1/11/19,0012e000002ZNYOAA4,0012e000002ZNYOAA4,1,University Department,Education,Not for profit,Internal,1
0062e000002HFtZAAW,0,Customer No Longer Interested,Research Contract,RIC RE&D and BD&I,2015-11-06T01:58:24.000Z,1/11/19,,0012e000002ZGfbAAG,1,Business Organization,Services,Not for profit,,1
0062e000002HFu0AAG,0,Other (Lost),Internship,RIC RE&D and BD&I,2016-06-01T11:24:39.000Z,1/11/19,0012e000002YlvyAAC,0012e000002ZNYOAA4,1,University Department,Education,Not for profit,Internal,1
0062e000002HFu1AAG,0,Other (Lost),Consultancy (Non-research),RIC RE&D and BD&I,2017-09-26T11:11:45.000Z,1/11/19,0012e000002Z4oNAAS,0012e000002ZNYOAA4,1,University Department,Education,Not for profit,Internal,1
0062e000002HFu2AAG,0,Other (Lost),Research Contract,RIC RE&D and BD&I,2016-06-01T11:25:43.000Z,1/11/19,0012e000002YlvyAAC,0012e000002ZNYOAA4,1,University Department,Education,Not for profit,Internal,1
0062e000002HFu3AAG,0,Other (Lost),Consultancy (Non-research),RIC RE&D and BD&I,2016-06-01T11:28:41.000Z,1/11/19,0012e000002YlvyAAC,0012e000002ZNYOAA4,1,University Department,Education,Not for profit,Internal,1
0062e000002HFu4AAG,0,Other (Lost),Custom Education (MSPACE Included),RIC RE&D and BD&I,2016-06-01T11:33:42.000Z,1/11/19,0012e000002YlvyAAC,0012e000002ZNYOAA4,1,University Department,Education,Not for profit,Internal,1
0062e000002HFu5AAG,0,Other (Lost),Sponsorship,Not supported,2018-08-23T01:18:07.000Z,28/2/19,0012e000003A6qjAAC,,1,Business Organization,Services,University,External,1
0062e000002HFu6AAG,0,Other (Lost),Research Contract,RIC-BD&I,2017-04-21T06:33:08.000Z,30/3/19,0012e000003A6RZAA0,0012e000002ZNYOAA4,1,Business Organization,Services,SME (small to medium enterprise),External,1
0062e000002HFu7AAG,0,Other (Lost),Research Contract,RIC-BD&I,2018-12-06T02:34:11.000Z,30/3/19,,0012e000002ZNYOAA4,1,Business Organization,Services,Not for profit,,1
0062e000002HFu8AAG,0,Other (Lost),Research Contract,Not supported,2018-07-11T05:56:19.000Z,28/2/19,0012e000003A6GwAAK,0012e000002ZNYOAA4,1,Business Organization,Services,University,External,1
0062e000002HFu9AAG,0,Other (Lost),Research Contract,Not supported,2018-07-11T05:38:17.000Z,28/2/19,0012e000003A6QwAAK,,1,Business Organization,Services,University,External,1
0062e000002HFuaAAG,0,Other (Lost),Research Contract,RIC RE&D and BD&I,2017-07-18T00:39:49.000Z,1/11/19,0012e000003A6ZvAAK,,1,Business Organization,Services,Not for profit,External,1
0062e000002HFuAAAW,0,Other (Lost),Grants,RIC RE&D and BD&I,2018-08-27T04:00:48.000Z,30/4/19,0012e000003A6R6AAK,0012e000002ZNYOAA4,1,Business Organization,Services,Not for profit,External,1
0062e000002HFubAAG,0,Other (Lost),Research Contract,Not supported,2018-03-12T00:23:36.000Z,1/11/19,0012e000003A6a8AAC,,1,Business Organization,Energy & Utilities,Not for profit,External,1
0062e000002HFuBAAW,0,Other (Lost),Research Contract,Not supported,2018-07-11T05:48:31.000Z,28/2/19,0012e000003A6QuAAK,,1,Business Organization,Services,University,External,1
0062e000002HFucAAG,0,Other (Lost),Research Contract,Not supported,2018-03-11T23:58:22.000Z,1/11/19,0012e000003A6aCAAS,,1,Business Organization,Services,Multinational / Other Large Corporate,External,1
0062e000002HFuCAAW,0,On Track,Research Contract,RIC-BD&I,2019-06-06T01:37:39.000Z,31/12/19,0012e000003A6ROAA0,0012e000002ZNYOAA4,1,Business Organization,Technology: IT & Telephone Services,Multinational / Other Large Corporate,External,1
0062e000002HFuDAAW,0,Other (Lost),Research Contract,RIC RE&D and BD&I,2017-12-11T05:05:20.000Z,1/11/19,0012e000003A6dmAAC,0012e000002ZNYOAA4,1,Business Organization,Services,Government: Australia: Local & State,External,1
0062e000002HFueAAG,0,Other (Lost),Research Contract,RIC-RE&D,2018-04-24T04:01:20.000Z,1/11/19,,0012e000002ZGfbAAG,1,Business Organization,Services,Not for profit,,1
0062e000002HFuEAAW,0,Other (Lost),Research Contract,Not supported,2018-03-20T23:22:58.000Z,31/10/19,0012e000003A6oHAAS,0012e000002ZNYOAA4,1,Business Organization,Services,Not for profit,External,1
0062e000002HFufAAG,0,Other (Lost),Internship,RIC-RE&D,2019-06-21T01:58:40.000Z,31/10/19,0012e000003A70jAAC,0012e000002ZmnxAAC,1,Business Organization,Health,Large Australian Corporate,External,1
0062e000002HFuFAAW,0,Other (Lost),Research Contract,Not supported,2019-01-06T23:59:08.000Z,1/11/19,,0012e000002ZNYOAA4,1,Business Organization,Services,Not for profit,,1
0062e000002HFugAAG,0,Other (Lost),Internship,RIC-RE&D,2019-01-21T02:38:48.000Z,30/6/19,0012e000003A70jAAC,0012e000002ZLg7AAG,1,Business Organization,Health,Large Australian Corporate,External,1
0062e000002HFuGAAW,0,Customer No Longer Interested,Research Contract,Not supported,2019-01-07T03:12:12.000Z,1/11/19,,0012e000002ZNYOAA4,1,Business Organization,Services,Not for profit,,1
0062e000002HFuhAAG,0,Other (Lost),Research Contract,RIC RE&D and BD&I,2018-11-05T00:20:11.000Z,1/11/19,0012e000003A6cOAAS,0012e000002ZGfbAAG,1,Business Organization,Health,Multinational / Other Large Corporate,External,1
0062e000002HFuHAAW,0,Other (Lost),Custom Education (MSPACE Included),RIC-BD&I,2019-03-03T23:47:04.000Z,30/8/19,,0012e000002ZNYOAA4,1,Business Organization,Services,Not for profit,,1
0062e000002HFuiAAG,0,Other (Lost),Research Contract,RIC-RE&D,2018-08-09T02:07:25.000Z,24/12/18,0012e000003A6xNAAS,,1,Business Organization,Public Administration,Government: Australia: Local & State,External,1
0062e000002HFuIAAW,0,Other (Lost),Research Contract,RIC-BD&I,2018-10-25T23:52:36.000Z,1/11/19,,0012e000002ZNYOAA4,1,Business Organization,Services,Not for profit,,1
0062e000002HFujAAG,0,Other (Lost),Custom Education (MSPACE Included),RIC-BD&I,2019-04-17T03:02:14.000Z,30/6/19,0012e000003A6dYAAS,0012e000002ZLgJAAW,1,Business Organization,Transportation & Logistics,Government: Australia: Local & State,External,1
0062e000002HFuJAAW,0,Other (Lost),Research Contract,RIC-RE&D,2019-07-05T06:24:37.000Z,1/11/19,0012e000003A6dnAAC,,1,Business Organization,Services,Government: Australia: Local & State,External,1
0062e000002HFukAAG,0,Other (Lost),Custom Education (MSPACE Included),Not supported,2018-11-12T00:03:00.000Z,31/1/19,0012e000003A6qhAAC,,1,Business Organization,Public Administration,Government: International,External,1
0062e000002HFulAAG,0,Other (Lost),Custom Education (MSPACE Included),Not supported,2019-01-11T04:25:20.000Z,28/2/20,0012e000003A6dnAAC,,1,Business Organization,Services,Government: Australia: Local & State,External,1
0062e000002HFuLAAW,0,Customer No Longer Interested,Research Contract,RIC-BD&I,2019-10-24T05:43:11.000Z,31/5/20,0012e000003A716AAC,0012e000002ZmnxAAC,1,Business Organization,Defence,Government: Australia: Federal,External,1
0062e000002HFumAAG,0,Other (Lost),Custom Education (MSPACE Included),Not supported,2018-07-16T08:16:10.000Z,1/11/19,0012e000003A6gcAAC,0012e000002Zt1RAAS,1,Business Organization,Services,SME (small to medium enterprise),External,1
0062e000002HFuMAAW,0,Other (Lost),Grants,RIC-RE&D,2019-06-21T02:31:35.000Z,1/9/19,0012e000003A6e1AAC,0012e000002ZNYOAA4,1,Business Organization,Defence,Government: International,External,1
0062e000002HFunAAG,0,Other (Lost),Custom Education (MSPACE Included),RIC-BD&I,2019-04-29T01:49:18.000Z,31/5/19,,0012e000002Zt1RAAS,1,Business Organization,Services,Not for profit,,1
0062e000002HFuoAAG,0,Other (Lost),Custom Education (MSPACE Included),RIC-BD&I,2019-09-12T03:38:32.000Z,31/3/20,0012e000003A6FgAAK,0012e000002Zt1RAAS,1,Business Organization,Public Administration,Government: Australia: Local & State,External,1
0062e000002HFuOAAW,1,Won,Consultancy (Non-research),RIC-RE&D,2018-11-01T05:09:25.000Z,9/3/20,0012e000003A6EiAAK,0012e000002ZLg7AAG,1,Business Organization,Defence,Government: Australia: Federal,External,1
0062e000002HFuPAAW,0,Other (Lost),Research Contract,RIC-BD&I,2019-06-10T22:58:45.000Z,20/12/19,,0012e000002ZGfbAAG,1,Business Organization,Services,Not for profit,,1
0062e000002HFuqAAG,0,Other (Lost),Research Contract,RIC-BD&I,2016-09-27T01:44:02.000Z,1/11/19,0012e000003A6qbAAC,,1,Business Organization,Health,SME (small to medium enterprise),External,1
0062e000002HFuQAAW,0,Other (Lost),Research Contract,RIC-BD&I,2018-05-04T02:28:07.000Z,31/7/19,0012e000003A6cOAAS,0012e000002ZGfbAAG,1,Business Organization,Health,Multinational / Other Large Corporate,External,1
0062e000002HFurAAG,0,Other (Lost),Custom Education (MSPACE Included),RIC-BD&I,2019-03-07T04:56:00.000Z,1/11/19,0012e000003A6aNAAS,0012e000002Zt1RAAS,1,Business Organization,Services,Government: Australia: Federal,External,1
0062e000002HFuRAAW,0,Customer No Longer Interested,Technology Transfer,RIC-BD&I,2018-11-26T06:50:34.000Z,20/12/19,,0012e000002ZGfbAAG,1,Business Organization,Services,Not for profit,,1
0062e000002HFusAAG,0,Other (Lost),Research Contract,RIC-BD&I,2019-04-16T04:49:38.000Z,1/11/19,0012e000003A6aNAAS,0012e000002Zt1RAAS,1,Business Organization,Services,Government: Australia: Federal,External,1
0062e000002HFuSAAW,0,Other (Lost),Consultancy (Non-research),RIC-BD&I,2019-06-20T01:57:44.000Z,1/11/19,,0012e000002ZGfbAAG,1,Business Organization,Services,Not for profit,,1
0062e000002HFutAAG,0,Customer No Longer Interested,Research Contract,Not supported,2018-07-16T07:42:43.000Z,1/11/19,0012e000003A6g1AAC,0012e000002Zt1RAAS,1,Business Organization,Services,University,External,1
0062e000002HFuTAAW,0,Other (Lost),Research Contract,RIC RE&D and BD&I,2017-07-11T03:28:39.000Z,1/11/19,0012e000003A6aEAAS,0012e000002ZmnzAAC,1,Business Organization,Manufacturing & R&D,Multinational / Other Large Corporate,External,1
0062e000002HFuuAAG,0,Other (Lost),Consultancy (Non-research),Not supported,2018-07-12T23:29:54.000Z,1/11/19,0012e000003A6xdAAC,0012e000002Zt1RAAS,1,Business Organization,Public Administration,Government: Australia: Federal,External,1
0062e000002HFuUAAW,0,Other (Lost),Research Contract,RIC RE&D and BD&I,2017-07-05T03:29:01.000Z,1/11/19,0012e000003A6a3AAC,,1,Business Organization,Public Administration,Government: International,External,1
0062e000002HFuVAAW,0,Other (Lost),Research Contract,RIC RE&D and BD&I,2017-07-10T00:34:49.000Z,1/11/19,0012e000003A6aHAAS,0012e000002ZLg7AAG,1,Business Organization,Mining Equipment and Technology Services,Not for profit,External,1
0062e000002HFuwAAG,0,Customer Not Responding,Custom Education (MSPACE Included),RIC-BD&I,2019-10-30T19:48:48.000Z,30/7/20,0012e000003A6gFAAS,0012e000002Zt1RAAS,1,Business Organization,Public Administration,Government: Australia: Federal,External,1
0062e000002HFuWAAW,0,Other (Lost),Research Contract,RIC RE&D and BD&I,2017-07-18T00:27:28.000Z,1/11/19,0012e000003A6qcAAC,,1,Business Organization,Technology: IT & Telephone Services,Large Australian Corporate,External,1
0062e000002HFuxAAG,0,Other (Lost),Research Contract,RIC-BD&I,2019-04-29T06:07:17.000Z,1/11/19,0012e000003A6QpAAK,,1,Business Organization,Public Administration,Government: Australia: Local & State,External,1
0062e000002HFuXAAW,0,Other (Lost),Research Contract,RIC RE&D and BD&I,2017-07-17T05:15:23.000Z,1/11/19,0012e000003A6qcAAC,,1,Business Organization,Technology: IT & Telephone Services,Large Australian Corporate,External,1
0062e000002HFuyAAG,0,Other (Lost),Research Contract,RIC-BD&I,2018-07-17T06:46:48.000Z,31/8/18,0012e000003A6r2AAC,,1,Business Organization,Health,Not for profit,External,1
0062e000002HFuYAAW,0,Other (Lost),Research Contract,RIC RE&D and BD&I,2017-07-20T01:48:42.000Z,1/11/19,0012e000003A6qcAAC,0012e000002ZLgJAAW,1,Business Organization,Technology: IT & Telephone Services,Large Australian Corporate,External,1
0062e000002HFuzAAG,0,Other (Lost),Research Contract,RIC-BD&I,2019-10-30T19:44:08.000Z,27/2/20,0012e000003A6EjAAK,0012e000002Zt1RAAS,1,Business Organization,Public Administration,Government: Australia: Federal,External,1
0062e000002HFuZAAW,0,Other (Lost),Research Contract,RIC RE&D and BD&I,2017-07-17T05:42:58.000Z,1/11/19,0012e000003A6qcAAC,,1,Business Organization,Technology: IT & Telephone Services,Large Australian Corporate,External,1
0062e000002HFv0AAG,0,Customer No Longer Interested,Research Contract,RIC-BD&I,2019-04-04T07:11:58.000Z,1/11/19,0012e000003A6EjAAK,0012e000002Zt1RAAS,1,Business Organization,Public Administration,Government: Australia: Federal,External,1
0062e000002HFv1AAG,0,Other (Lost),Research Contract,RIC-BD&I,2017-07-21T01:15:07.000Z,1/11/19,,0012e000002Zt1RAAS,1,Business Organization,Services,Not for profit,,1
0062e000002HFv2AAG,0,Other (Lost),Grants,RIC-BD&I,2019-08-09T05:08:20.000Z,25/10/19,0012e000003A6g6AAC,,1,Business Organization,Services,Not for profit,External,1
0062e000002HFv3AAG,0,Other (Lost),Grants,Not supported,2019-06-26T04:18:09.000Z,1/11/19,0012e000003A6g9AAC,0012e000002Zt1RAAS,1,Business Organization,Services,Government: Australia: Local & State,External,1
0062e000002HFv4AAG,0,Other (Lost),Custom Education (MSPACE Included),RIC-BD&I,2017-06-29T06:49:49.000Z,1/11/19,0012e000003A6EjAAK,0012e000002Zt1RAAS,1,Business Organization,Public Administration,Government: Australia: Federal,External,1
0062e000002HFv5AAG,0,Other (Lost),Research Contract,RIC-BD&I,2019-05-06T01:10:07.000Z,27/12/19,,0012e000002Zt1RAAS,1,Business Organization,Services,Not for profit,,1
0062e000002HFv6AAG,0,Other (Lost),Research Contract,RIC-BD&I,2018-03-23T04:45:21.000Z,28/9/18,,0012e000002Zt1RAAS,1,Business Organization,Services,Not for profit,,1
0062e000002HFv7AAG,0,Other (Lost),Custom Education (MSPACE Included),RIC-BD&I,2019-07-03T02:19:14.000Z,29/11/19,0012e000003A6gSAAS,0012e000002Zt1RAAS,1,Business Organization,Services,Not for profit,External,1
0062e000002HFv8AAG,0,Other (Lost),Custom Education (MSPACE Included),Not supported,2018-07-09T07:41:15.000Z,30/11/18,0012e000003A6fuAAC,0012e000002Zt1RAAS,1,Business Organization,Public Administration,Government: International,External,1
0062e000002HFv9AAG,0,Other (Lost),Research Contract,RIC-BD&I,2019-04-15T23:24:20.000Z,28/6/19,0012e000003A6mHAAS,,1,Business Organization,Public Administration,Government: Australia: Local & State,External,1
0062e000002HFvaAAG,1,Won,Technology Transfer,RIC-BD&I,2019-02-15T06:30:47.000Z,30/6/19,0012e000003A78sAAC,0012e000002ZGfbAAG,1,Business Organization,Services,SME (small to medium enterprise),External,1
0062e000002HFvAAAW,0,Customer No Longer Interested,Research Contract,RIC-BD&I,2019-06-26T02:30:14.000Z,30/8/19,0012e000003A6gPAAS,0012e000002Zt1RAAS,1,Business Organization,Construction & Construction Materials,Not for profit,External,1
0062e000002HFvBAAW,0,Other (Lost),Custom Education (MSPACE Included),RIC-BD&I,2019-07-24T03:11:47.000Z,31/10/19,0012e000003A6qrAAC,,1,Business Organization,Services,Not for profit,External,1
0062e000002HFvcAAG,0,Other (Lost),Technology Transfer,RIC-BD&I,2018-02-06T01:03:16.000Z,1/11/19,0012e000003A6l5AAC,0012e000002ZGfbAAG,1,Business Organization,Services,University,External,1
0062e000002HFvCAAW,0,Other (Lost),Grants,Not supported,2018-07-18T04:42:59.000Z,1/11/19,0012e000003A6OaAAK,,1,Business Organization,Technology: IT & Telephone Services,Multinational / Other Large Corporate,External,1
0062e000002HFvdAAG,0,Other (Lost),Technology Transfer,RIC RE&D and BD&I,2018-02-01T01:45:17.000Z,1/11/19,0012e000003A6cvAAC,0012e000002ZGfbAAG,1,Business Organization,Health,SME (small to medium enterprise),External,1
0062e000002HFvDAAW,0,Other (Lost),Grants,Not supported,2018-07-18T04:45:43.000Z,1/11/19,0012e000003A6NaAAK,,1,Business Organization,Technology: IT & Telephone Services,SME (small to medium enterprise),External,1
0062e000002HFveAAG,0,Other (Lost),Technology Transfer,RIC-BD&I,2017-12-18T00:51:38.000Z,1/11/19,,0012e000002ZGfbAAG,1,Business Organization,Services,Not for profit,,1
